"filename", "language", "SCSS", "TypeScript React", "TypeScript", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\inspirations\jeziora.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 27, 64
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\inspirations\miejsca.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 27, 64
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\inspirations\podroze.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 27, 64
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\inspirations\przewodnik.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 27, 64
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\more\francja.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\more\hiszpania.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\more\niemcy.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\more\usa.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\more\wlochy.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\apartamenty.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\domki.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\domkiWiejskie.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\hotele.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
